CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,Shape_area,Shape_Length,Shape,longitude,latitude
Residential,1,MOR,MONTEREY PARK,NORTHEAST,ESTABLISHED,2000s,8718871.5625000,13821.50544,Polygon,-113.9268714,51.0814548077164
Residential,1,MPK,MARLBOROUGH PARK,NORTHEAST,ESTABLISHED,1960s/1970s,6288803.6250000,9989.374246,Polygon,-113.9467178,51.0596925942928
Residential,1,MPL,MAPLE RIDGE,SOUTH,ESTABLISHED,1960s/1970s,6980186.1484380,12962.16111,Polygon,-114.0346868,50.9576368206269
Residential,1,MRL,MARLBOROUGH,NORTHEAST,ESTABLISHED,1960s/1970s,6712249.2265630,10583.29271,Polygon,-113.9699874,51.0595428481045
Residential,1,MRT,MARTINDALE,NORTHEAST,ESTABLISHED,1980s/1990s,6813616.7578130,10482.68362,Polygon,-113.9583871,51.1179108265044
Industrial,2,NAW,NORTH AIRWAYS,NORTHEAST,N/A,EMPLOYMENT,3062827.3515630,8112.458536,Polygon,-114.0108564,51.0871387943096
Residential,1,NEB,NEW BRIGHTON,SOUTHEAST,COMPLETE,2010s,7154857.8828130,10773.88766,Polygon,-113.9452381,50.9220619418479
Residential,1,NGM,NORTH GLENMORE PARK,WEST,ESTABLISHED,1950s,2915400.6718750,7735.096676,Polygon,-114.1122479,51.0014283777877
Residential,1,NHU,NORTH HAVEN UPPER,NORTH,ESTABLISHED,1960s/1970s,681697.9296880,3849.169984,Polygon,-114.0870628,51.1032163514552
Residential,1,NHV,NORTH HAVEN,NORTH,ESTABLISHED,1960s/1970s,2141453.3671880,6543.481377,Polygon,-114.087941,51.0970046689822
Residential,1,NOL,NOLAN HILL,NORTH,DEVELOPING,2020s,5199466.4375000,9441.098303,Polygon,-114.1639579,51.1753636616399
Major Park,3,NPK,NOSE HILL PARK,NORTHWEST,N/A,PARKS,29410853.8906250,22070.26618,Polygon,-114.1115865,51.1124886875630
Residential,1,OAK,OAKRIDGE,SOUTH,ESTABLISHED,1960s/1970s,6094224.0156250,10098.39212,Polygon,-114.129614,50.9696667159987
Residential,1,OGD,OGDEN,SOUTHEAST,ESTABLISHED,1950s,10326710.0625000,14071.24312,Polygon,-114.0119421,50.9893118486761
Industrial,2,OSH,OGDEN SHOPS,EAST,N/A,EMPLOYMENT,5596724.1796880,12270.24027,Polygon,-114.0006844,50.9968341332037
