COMM_CODE_09,CENSUS_YEAR_09,RESIDENT_CNT_09,COMM_CODE_19,CENSUS_YEAR_19,RESIDENT_CNT_19,PER_GRWTH,TOP_5_COMM_CODE,TOP_5_PERCENT_GROWTH,TOP_5_POP_09,TOP_5_POP_19,,,,,,,,,,,,,,,
EDG,2009,16534,EDG,2019,15395,-6.888835128,,,,,,,,,,,,,,,,,,,
WBN,2009,9557,WBN,2019,8866,-7.230302396,,,,,,,,,,,,,,,,,,,
MCK,2009,14528,MCK,2019,13406,-7.723017621,,,,,,,,,,,,,,,,,,,
NHU,2009,649,NHU,2019,597,-8.012326656,,,,,,,,,,,,,,,,,,,
DRN,2009,5520,DRN,2019,5065,-8.242753623,,,,,,,,,,,,,,,,,,,
RIV,2009,10081,RIV,2019,9244,-8.302747743,,,,,,,,,,,,,,,,,,,
HAM,2009,8086,HAM,2019,7382,-8.706406134,,,,,,,,,,,,,,,,,,,
SAN,2009,6476,SAN,2019,5904,-8.832612724,,,,,,,,,,,,,,,,,,,
MAC,2009,5233,MAC,2019,4754,-9.153449264,,,,,,,,,,,,,,,,,,,
BEL,2009,430,BEL,2019,390,-9.302325581,,,,,,,,,,,,,,,,,,,
HAW,2009,10202,HAW,2019,9248,-9.351107626,,,,,,,,,,,,,,,,,,,
DIA,2009,766,DIA,2019,690,-9.921671018,,,,,,,,,,,,,,,,,,,
SCE,2009,9068,SCE,2019,8067,-11.03881782,,,,,,,,,,,,,,,,,,,
SDC,2009,10969,SDC,2019,9736,-11.24076944,,,,,,,,,,,,,,,,,,,
SOV,2009,2079,SOV,2019,1805,-13.17941318,,,,,,,,,,,,,,,,,,,
ALT,2009,8723,ALT,2019,6942,-20.41728763,,,,,,,,,,,,,,,,,,,
SRI,2009,53,SRI,2019,25,-52.83018868,,,,,,,,,,,,,,,,,,,
