Business,Address,Annual Consumption,Unit,City,Province,Country,Year
3613 & 3615 28 AV SE HOUSING,3621 28 AV SE,20,GJ,Calgary,Alberta,Canada,2018
3617 & 3619 28 AV SE HOUSING,3625 28 AV SE,25,GJ,Calgary,Alberta,Canada,2018
3621 & 3623 28 AV SE HOUSING,3629 28 AV SE,18,GJ,Calgary,Alberta,Canada,2018
3625 & 3627 28 AV SE HOUSING,3633 28 AV SE,21,GJ,Calgary,Alberta,Canada,2018
3629 & 3631 28 AV SE HOUSING,36 ABINGDON CO NE,23,GJ,Calgary,Alberta,Canada,2018
3633 & 3635 28 AV SE HOUSING,36 RADCLIFFE CO SE,21,GJ,Calgary,Alberta,Canada,2018
36 ABINGDON CO NE HOUSING,37 ERIN RIDGE RD SE,11,GJ,Calgary,Alberta,Canada,2018
36 RADCLIFFE CO SE HOUSING,3824 PARKHILL PL SW,58,GJ,Calgary,Alberta,Canada,2018
37 ERIN RIDGE RD SE HOUSING,40 FALMEAD BA NE,11,GJ,Calgary,Alberta,Canada,2018
3824 PARKHILL PL SW HOUSING,3902 44 AV NE,58,GJ,Calgary,Alberta,Canada,2018
38 & 40 FALMEAD BA NE HOUSING,43 DEERPOINT RD SE,26,GJ,Calgary,Alberta,Canada,2018
3902 & 3904 44 AV NE HOUSING,39 FALSHIRE WY NE,36,GJ,Calgary,Alberta,Canada,2018
39 & 43 DEERPOINT RD SE HOUSING,4006 WORCESTER DR SW,23,GJ,Calgary,Alberta,Canada,2018
39 FALSHIRE WY NE HOUSING,4012 WORCESTER DR SW,16,GJ,Calgary,Alberta,Canada,2018
4006 WORCESTER DR SW HOUSING,4018 WORCESTER DR SW,41,GJ,Calgary,Alberta,Canada,2018
4012 WORCESTER DR SW HOUSING,40 38A AV SW,48,GJ,Calgary,Alberta,Canada,2018
4018 WORCESTER DR SW HOUSING,#40-45 2730 19 AV SE,37,GJ,Calgary,Alberta,Canada,2018
40 38A AV SW HOUSING,411 14 ST NW,332,GJ,Calgary,Alberta,Canada,2018
#40-45 2730 19 AV SE HOUSING,41 FALBURY CR NE,44,GJ,Calgary,Alberta,Canada,2018
411 14 ST NW HOUSING,419 ABADAN PL NE,949,GJ,Calgary,Alberta,Canada,2018
41 & 43 FALBURY CR NE HOUSING,424 2 AV NE,27,GJ,Calgary,Alberta,Canada,2018
419 ABADAN PL NE HOUSING,4303 WHITEHORN DR NE,12,GJ,Calgary,Alberta,Canada,2018
424 2 AV NE HOUSING,4307 DOVERWOOD PL SE,168,GJ,Calgary,Alberta,Canada,2018
4303 & 4307 WHITEHORN DR NE HOUSING,4308 DOVERWOOD PL SE,23,GJ,Calgary,Alberta,Canada,2018
4307 DOVERWOOD PL SE HOUSING,4312 DOVERWOOD PL SE,19,GJ,Calgary,Alberta,Canada,2018
4308 DOVERWOOD PL SE HOUSING,4311 WHITEHORN DR NE,23,GJ,Calgary,Alberta,Canada,2018
4310 DOVERWOOD PL SE HOUSING,4311 DOVERWOOD PL SE,19,GJ,Calgary,Alberta,Canada,2018
4311 & 4315 WHITEHORN DR NE HOUSING,4313 DOVERWOOD PL SE,21,GJ,Calgary,Alberta,Canada,2018
4311 DOVERWOOD PL SE HOUSING,4314 DOVERWOOD PL SE,20,GJ,Calgary,Alberta,Canada,2018
4313 DOVERWOOD PL SE HOUSING,4317 DOVERWOOD PL ASE,22,GJ,Calgary,Alberta,Canada,2018
4314 DOVERWOOD PL SE HOUSING,4318 DOVERWOOD PL SE,15,GJ,Calgary,Alberta,Canada,2018
4317 DOVERWOOD PL SE HOUSING,4323 WHITEHORN DR NE,17,GJ,Calgary,Alberta,Canada,2018
4318 DOVERWOOD PL SE HOUSING,4321 DOVERWOOD PL SE,25,GJ,Calgary,Alberta,Canada,2018
4319 & 4323 WHITEHORN DR NE HOUSING,4322 DOVERWOOD PL SE,27,GJ,Calgary,Alberta,Canada,2018
4321 DOVERWOOD PL SE HOUSING,4327 BOWNESS RD NW,18,GJ,Calgary,Alberta,Canada,2018
4322 DOVERWOOD PL SE HOUSING,4325 DOVERWOOD PL SE,19,GJ,Calgary,Alberta,Canada,2018
